ID	Language_ID	Parameter_ID	Form	Value	Segments
hin-557_living-2	hin	557_living	zɪndaː	ज़िंदा	z ɪ n d aː
hin-345_pot-1	hin	345_pot	deːɣt͡ʃaː	देग़चा	d eː ɣ tʃ aː
hin-626_only-2	hin	626_only	sɪrf	सिर्फ़	s ɪ r f
hin-988_convey-2	hin	988_convey	suːt͡ʃənaː deːnaː	सूचना देना	s uː tʃ ə n aː + d eː n aː
hin-736_drink-1	hin	736_drink	piːnaː	पीना	p iː n aː
hin-450_day-2	hin	450_day	roːz	रोज़	r oː z
hin-193_man-1	hin	193_man	aːdəmiː	आदमी	aː d ə m iː
hin-798_flee-1	hin	798_flee	bʰaːɡnaː	भागना	bʰ aː g n aː
hin-590_now-2	hin	590_now	əbʰiː	अभी	ə bʰ iː
hin-832_lose-2	hin	832_lose	ɡãːvaːnaː	गँवाना	g ãː v aː n aː
hin-50_hunger-1	hin	50_hunger	bʰuːkʰ	भूख	bʰ uː kʰ
hin-560_correct-1	hin	560_correct	ʈʰiːk	ठीक	ʈʰ iː k
hin-112_tree-2	hin	112_tree	wr̥kʂ	वृक्ष	w r̥ k ʂ
hin-544_stupid-2	hin	544_stupid	bʊdʰːuː	बुद्धू	b ʊ dʰː uː
hin-968_clean-1	hin	968_clean	saːf kərnaː	साफ़ करना	s aː f + k ə r n aː
hin-833_drop-1	hin	833_drop	ɡɪraːnaː	गिराना	g ɪ r aː n aː
hin-339_bag-2	hin	339_bag	bəstaː	बस्ता	b ə s t aː
hin-52_flavour-2	hin	52_flavour	zaːjqaː	ज़ायक़ा	z aː j q aː
hin-438_fight-2	hin	438_fight	səŋɡʰərʂ	संघर्ष	s ə ŋ gʰ ə r ʂ
hin-270_item-2	hin	270_item	pədaːrtʰ	पदार्थ	p ə d aː r tʰ
hin-527_yellow-2	hin	527_yellow	zərd	ज़र्द	z ə r d
hin-290_ski-1	hin	290_ski	skiː	स्की	s k iː
hin-911_instruct-1	hin	911_instruct	sɪkʰaːnaː	सिखाना	s ɪ kʰ aː n aː
hin-454_night-1	hin	454_night	raːt	रात	r aː t
hin-932_win-2	hin	932_win	wɪd͡ʒəjə paːnaː	विजय पाना	w ɪ dʒ ə j ə + p aː n aː
hin-284_amount-1	hin	284_amount	maːtraː	मात्रा	m aː t r aː
hin-89_lake-2	hin	89_lake	səroːvər	सरोवर	s ə r oː v ə r
hin-517_ripe-2	hin	517_ripe	pəkːaː	पक्का	p ə kː aː
hin-592_tomorrow-1	hin	592_tomorrow	kəl	कल	k ə l
hin-605_never-1	hin	605_never	kəbʰiː nəhĩː	कभी नहीं	k ə bʰ iː + n ə h ĩː
hin-246_guest-2	hin	246_guest	meːhmaːn	मेहमान	m eː h m aː n
hin-897_burn-1	hin	897_burn	d͡ʒəlaːnaː	जलाना	dʒ ə l aː n aː
hin-106_sea-1	hin	106_sea	saːɡər	सागर	s aː g ə r
hin-424_shop-1	hin	424_shop	dʊkaːn	दुकान	d ʊ k aː n
hin-509_dry-2	hin	509_dry	xʊɕk	ख़ुश्क	x ʊ ɕ k
hin-877_throw-1	hin	877_throw	pʰẽːknaː	फेंकना	pʰ ẽː k n aː
hin-429_world-2	hin	429_world	dʊnɪjaː	दुनिया	d ʊ n ɪ j aː
hin-92_meadow-1	hin	92_meadow	ɡʰaːsstʰəl	घास-स्थल	gʰ aː s s tʰ ə l
hin-983_talk-2	hin	983_talk	baːt kərnaː	बात करना	b aː t + k ə r n aː
hin-489_thin-1	hin	489_thin	məhiːn	महीन	m ə h iː n
hin-495_soft-1	hin	495_soft	nərm	नरम	n ə r m
hin-217_desire-2	hin	217_desire	kaːmnaː	कामना	k aː m n aː
hin-579_first-2	hin	579_first	prətʰəm	प्रथम	p r ə tʰ ə m
hin-255_sort-1	hin	255_sort	tərəh	तरह	t ə r ə h
hin-887_take-1	hin	887_take	leːnaː	लेना	l eː n aː
hin-769_dive-1	hin	769_dive	ɖuːbənaː	डूबना	ɖ uː b ə n aː
hin-647_who-1	hin	647_who	kɔːn	कौन	k ɔː n
hin-406_town-1	hin	406_town	ɕəhər	शहर	ɕ ə h ə r
hin-165_spider-2	hin	165_spider	məkɽiː	मकड़ी	m ə k ɽ iː
hin-314_bed-1	hin	314_bed	kʰaːʈ	खाट	kʰ aː ʈ
hin-790_like-1	hin	790_like	pəsəndə hoːnaː	पसंद होना	p ə s ə n d ə + h oː n aː
hin-296_south-1	hin	296_south	dəkʰːɪn	दक्खिन	d ə kʰː ɪ n
hin-268_side-1	hin	268_side	oːr	ओर	oː r
hin-334_picture-1	hin	334_picture	t͡ʃɪtr	चित्र	tʃ ɪ t r
hin-450_day-1	hin	450_day	dɪn	दिन	d ɪ n
hin-904_kiss-1	hin	904_kiss	t͡ʃuːmnaː	चूमना	tʃ uː m n aː
hin-181_noose-1	hin	181_noose	fə̃daː	फँदा	f ə̃ d aː
hin-625_still-1	hin	625_still	əbʰiː tək	अभी तक	ə bʰ iː + t ə k
hin-367_thread-1	hin	367_thread	ɖoːraː	डोरा	ɖ oː r aː
hin-417_worker-1	hin	417_worker	məzduːr	मज़दूर	m ə z d uː r
hin-18_nape-1	hin	18_nape	ɡərdən	गरदन	g ə r d ə n
